ID,Country,Brand,Type,Package,Rating
220,TWN,Brand F,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,5
221,IDN,Brand A,Mi Goreng Garlic Flavour Fried Noodles,Pack,4.5
222,IDN,Brand B,Top Ramen Atta Nooldes Masala,Pack,4.5
223,CHN,Brand C,Instant Spicy Rice Noodle,Bowl,4
224,JPN,Brand D,Tanuki Soba,Cup,3.5
225,KOR,Brand E,Zzaldduck Buldak Bokkeummyun Snack,Pack,4.5
226,KOR,Brand F,Curry Buldak Bokkeummyun,Pack,4.3
227,KOR,Brand G,Cool/Ice Buldak Bokkeummyun,Pack,3.8
228,KOR,Brand A,2x Spicy Haek Buldak Bokkeummyun,Pack,4
229,KOR,Brand B,Buldak Bokkeummyun Snack,Pack,5
230,KOR,Brand C,Stew Buldak Bokkeumtangmyun,Pack,5
231,KOR,Brand D,Cheese Buldak Bokkeummyun,Pack,4
232,KOR,Brand E,Buldak Bokkeummyun (New Packaging),Pack,4
233,CHN,Brand F,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,4
234,HKG,Brand G,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,5
235,IDN,Brand A,Instant Noodles Artificial Chicken Flavoured,Pack,2
236,JPN,Brand B,Kitsune Udon,Cup,2
237,CHN,Brand C,Pickled Cabbage Flavor Instant Vermicelli,Bowl,4
238,HKG,Brand D,Noodle King Artificial Wonton Soup Flavored,Bowl,5
239,KOR,Brand E,Spicy Shrimp Cup Noodle,Cup,4
240,JPN,Brand F,Nagasaki Agodashi Shoyu Ramen,Pack,4
241,VNM,Brand A,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,5
242,JPN,Brand B,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,4
243,TWN,Brand C,Minced Pork Flavor Instant Noodles,Pack,1
244,IDN,Brand D,Chatpat Masala,Pack,4
245,HKG,Brand E,Cup Noodles BIG XO Sauce Seafood Flavour,Cup,4
246,AUS,Brand F,Noodles Chicken & Corn Flavour,Cup,3
247,JPN,Brand G,Hokkaido Salt Ramen,Pack,3
248,HKG,Brand A,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,3
249,PAK,Brand B,Chatt Patta Instant Noodles,Pack,1
250,KOR,Brand C,Clam Flavor Soup Kal-guksu,Pack,5
251,MEX,Brand D,Cup Noodles Sopa Nissin Sabor A Pollo,Cup,4
252,MEX,Brand E,Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne,Cup,4
253,MEX,Brand F,Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen,Pack,4
254,MEX,Brand G,Cup Noodles Sopa Nissin Sabor A Carne De Res,Cup,4
255,MEX,Brand A,RapiFideo Sabor A Tomate Y Pollo,Cup,4
256,MEX,Brand B,"Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon",Cup,3
257,MEX,Brand C,Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen,Pack,4
258,MEX,Brand D,Cup Noodles Sopa Nissin Con Camaron,Cup,3
259,MEX,Brand E,Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante,Cup,3
260,MEX,Brand F,Cup Noodles Gourmet Sabor A Caldo De Camaron,Cup,5
261,MEX,Brand A,"Sopa Nissin Sabor Mariscos, Habanero Y Limon",Cup,4
262,MEX,Brand B,Maxi Sopa Nissin Cuchareable Sabor A Pollo,Cup,4
263,MEX,Brand C,Sopa Nissin Sabor A Res Instantanea Tipo Ramen,Pack,4
264,MEX,Brand D,Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo,Cup,4
265,TWN,Brand E,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,4
266,IDN,Brand F,Atta Noodles Jhatpat Banao Befikr Khao,Pack,5
267,CHN,Brand G,Shaanxi Cold Noot Hot & Sour Flavor,Pack,3
268,USA,Brand A,Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe),Cup,4
269,HKG,Brand B,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,Cup,4
270,BGD,Brand C,Mr. Noodles Curry Flavor Instant Noodles,Pack,4
271,KOR,Brand D,Bul Jjajangmyeon,Pack,5
272,JPN,Brand E,Kirin Giraffe Shio Ramen,Pack,5
273,JPN,Brand F,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,3
274,HKG,Brand G,Black Pepper XO Sauce Flavour,Bowl,5
275,JPN,Brand A,Nupasta Bolognese Flavour Instant Noodle,Cup,4
276,KOR,Brand B,Saeutang Sabalmyeon,Bowl,3.5
277,TWN,Brand C,Sichuan Spicy Flavor,Pack,5
278,THA,Brand D,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,Bowl,4
279,JPN,Brand E,Cup Noodle Spicy Curry Chicken,Cup,5
280,USA,Brand F,Ramen Noodles Miso Flavor,Bowl,3
281,HKG,Brand A,Cup Noodles Spicy Beef Flavour,Cup,4
282,TWN,Brand B,Sesame Oil With Garlic Flavor Thin Noodle,Pack,3.5
283,TWN,Brand C,Traditional Shallot & Onion Oil Noodle,Pack,5
284,TWN,Brand D,Sesame Sauce Matcha Noodle,Pack,3.8
285,BGD,Brand E,Mr. Noodles Instant Noodles Beef Flavour,Pack,4
286,HKG,Brand F,Cup Noodles Big Seafood Flavour,Cup,4
287,AUS,Brand G,Noodles Chicken Chow Mein Flavour,Cup,4
288,MEX,Brand A,Ramyun Sabor Pollo,Pack,4
289,HKG,Brand B,Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles,Cup,4
290,JPN,Brand C,Chicken Flavor Ramen,Pack,4
291,IDN,Brand D,2 Minute Noodles Masala Spicy,Pack,5
292,MEX,Brand E,Sopa Maruchan Sobar A Camaron,Pack,3
293,JPN,Brand F,Yakisoba,Tray,5
294,AUS,Brand G,Noodle With Oriental Chicken Flavour,Cup,3
295,HKG,Brand A,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,Pack,4
296,MYS,Brand B,Mi Segera Mmm... Original,Pack,3
297,USA,Brand C,Cup Noodles Spicy Chile Chicken (New Recipe),Cup,4
298,CHN,Brand D,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,3
299,AUS,Brand E,Noodles With Chicken Flavour,Cup,3
300,CHN,Brand F,Cup Noodles Seafood,Cup,4
301,JPN,Brand A,Tabimen AizuKitakata Gyokai Shoyu Ramen,Bowl,4
302,HKG,Brand B,Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle,Pack,5
303,CHN,Brand C,Chongqing Noodles Spicy Hot Flavor,Pack,5
304,KOR,Brand D,Buldak Bokkummyun Cheese Flavor,Pack,4
305,HKG,Brand E,Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle,Pack,5
306,JPN,Brand F,Shin Toyama Black Ramen,Bowl,4
307,HKG,Brand G,Cup Noodles Tom Yum Goong Flavour,Cup,4
308,CHN,Brand A,Artificial Abalone Crab Flavor Instant Noodle,Pack,0
309,HKG,Brand B,Noodle King Artificial Abalone And Chicken Soup Flavored,Bowl,4
310,AUS,Brand C,Noodles Beef Flavour,Cup,3
311,HKG,Brand D,Korean Kimchi Flavour Vermicelli,Cup,4
312,JPN,Brand E,Raoh Pork Bone Soy Soup Noodle,Pack,5
313,KOR,Brand F,Gold Jjamppong Fried Noodle,Pack,5
314,HKG,Brand G,Demae Iccho Red Hot Seafood Flavour Instant Noodle,Cup,4
315,CHN,Brand A,Chongqing Noodles Hot & Sour Flavor,Pack,4
316,HKG,Brand B,Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,5
317,JPN,Brand C,Raoh Tantanmen,Pack,5
318,USA,Brand D,Ramen Noodles Soy Sauce Flavor,Bowl,3
319,USA,Brand E,Cup Noodles With Shrimp Ramen Noodle Soup (New Recipe),Cup,3
320,CHN,Brand F,Hot & Sour Beef Noodles,Pack,4
321,AUS,Brand A,Noodles With Braised Beef Flavour,Cup,4
322,TWN,Brand B,A Q Bucket Noodle Korean Kimchi Flavor,Bowl,4
323,HKG,Brand C,Demae Iccho Spicy Kimchi Pot Flavour Instant Noodle (Bowl Noodle),Bowl,4
324,CHN,Brand D,Chongqing Noodles Burning Dry Noodles,Pack,5
325,KOR,Brand E,Fresh Bibimmyun Fried Noodle,Pack,4
326,IDN,Brand F,Instant Noodles Veg Masala Flavour,Pack,4
327,HKG,Brand G,Nupasta Neapolitan Flavour Instant Noodle,Pack,5
328,USA,Brand A,Karami Ramen Spicy Chili Flavour JPNese Style Noodle With Soup Base,Pack,2
329,THA,Brand B,Disney Cuties Instant Noodle Crab Flavour,Cup,4
330,JPN,Brand C,Cup Noodles Rich Soft Shelled Turle Soup,Cup,3
331,TWN,Brand D,Instant Vegetarian Beehoon Rice Vermicelli,Pack,1
332,CHN,Brand E,Broad Noodle Artificial Beef Flavor Hot Pot,Pack,4
333,USA,Brand F,Curry Flavour Instant Noodles,Cup,5
334,JPN,Brand G,Tohokuno Aji Yonezawa Ramen,Bowl,4
335,TWN,Brand A,Science Noodle (X'Mas Edition),Pack,5
336,USA,Brand B,Pho Beef Flavor VNMese Rice Noodle Soup,Bowl,3.8
337,HKG,Brand C,Instant Wonton Noodles Scallop Lobster Soup Flavour,Bowl,4.3
338,HKG,Brand D,Tom Yam Soup Instant Noodle,Pack,2.3
339,USA,Brand E,Ramen Noodles Artificially Flavored Tonkotsu,Bowl,3
340,JPN,Brand F,Hiroshima Flavor Yakisoba,Tray,5
341,THA,Brand A,Disney Cuties Instant Noodle Seaweed Flavour,Cup,3
342,AUS,Brand B,Instant Noodles Mi Goreng Flavour,Cup,4
343,JPN,Brand C,Sugomen Sano Ramen,Bowl,5
344,MEX,Brand D,Ramyon Sabor Y Camaron,Pack,4
345,HKG,Brand E,Demae Iccho Spicy XO Sauce Seafood Flavour,Pack,4
346,TWN,Brand F,Sun Dried Noodle - Fruity Soy Bean Paste,Pack,4
347,USA,Brand G,Shin Noodle Soup,Cup,5
348,JPN,Brand A,Sapporo Noukou Miso Ramen,Bowl,5
349,USA,Brand B,Soy Sauce,Cup,4
350,HKG,Brand C,VNMese Chicken Coriander Flavour Vermicelli,Cup,4
351,HKG,Brand D,Artificial Spicy Beef Flavour,Pack,4
352,HKG,Brand E,Cup Noodles Black Pepper Crab Flavour,Cup,4
353,CAN,Brand F,Beef Style Noodles With Vegetables,Cup,3
354,HKG,Brand G,Spicy Soup Instant Noodle Beef Flavour,Pack,4
355,KOR,Brand A,Rice Noodle Anchovy Flavor,Bowl,3
356,USA,Brand B,Cup Noodles Chicken Flavor Ramen Noodle Soup (New Recipe),Cup,4
357,NPL,Brand C,Rumpum Gundruk Flavour,Pack,1
358,JPN,Brand D,Cup Noodle Light+ Bagna Cauda,Cup,5
359,JPN,Brand E,Gotsumori Koku Tonkotsu Ramen,Bowl,4
360,THA,Brand F,Tom Yum Shrimp Creamy Flavour Instant Noodles,Bowl,4
361,KOR,Brand A,Bibim Men,Bowl,5
362,HKG,Brand B,Cup Noodles Milk Seafood Flavour,Cup,4
363,JPN,Brand C,Spicy Chikin Donburi,Bowl,5
364,AUS,Brand D,Noodle Chicken Flavour,Cup,4
365,JPN,Brand E,Kuroma-Yu Tonkotsu Kumamoto Ramen,Pack,4
366,HKG,Brand F,Artificial Beef With Sauerkraut Flavour,Pack,4
367,JPN,Brand G,Raoh Shoyu Ramen,Bowl,5
368,USA,Brand A,Ramen Noodle Soup Sriracha Chicken Flavor,Pack,4
